type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase
DDR4-1.3333333,40,10000,1818665067.466267,76.68818313842391,43.80952380952381
DDR4-1.3333333,50,0,107428586506.74664,218.9672821509556,190.47619047619048
DDR4-1.3333333,50,5,103989598800.5997,175.60648874934589,155.7142857142857
DDR4-1.3333333,50,10,99887745727.13643,152.5024187452759,125.23809523809523
DDR4-1.3333333,50,15,88813951424.28786,127.2628266259775,95.71428571428571
DDR4-1.3333333,50,20,82992772413.7931,120.10585988781477,92.85714285714285
DDR4-1.3333333,50,25,77789524437.78111,111.912512546002,79.04761904761905
DDR4-1.3333333,50,30,75824167916.04199,111.00392677396161,80.47619047619047
DDR4-1.3333333,50,35,73556025187.40631,108.6307634164777,78.09523809523809
DDR4-1.3333333,50,40,65798841379.31035,101.87480962534268,70.47619047619047
DDR4-1.3333333,50,45,59927690554.72264,98.79690426895397,67.61904761904762
DDR4-1.3333333,50,50,58563540629.68516,98.20550090539813,66.19047619047619
DDR4-1.3333333,50,55,57385844677.66117,97.58206997084548,65.23809523809524
DDR4-1.3333333,50,60,56147833283.35832,96.70343030829352,62.857142857142854
DDR4-1.3333333,50,65,54031419490.25487,95.60977118119975,62.857142857142854
DDR4-1.3333333,50,70,52342116941.52924,95.08300264550263,63.80952380952381
DDR4-1.3333333,50,80,49040618890.554726,93.62678221973721,61.42857142857142
DDR4-1.3333333,50,90,44674398800.5997,92.41510387938959,59.52380952380952
DDR4-1.3333333,50,100,34412915142.42879,90.24422219218813,57.14285714285714
DDR4-1.3333333,50,120,30378967316.34183,89.13609888399805,56.19047619047619
DDR4-1.3333333,50,140,28849588005.997,88.87640250905557,55.238095238095234
DDR4-1.3333333,50,160,27055774512.743633,88.5108225108225,53.33333333333333
DDR4-1.3333333,50,180,24965689955.022488,88.44597579291457,55.714285714285715
DDR4-1.3333333,50,200,23659706146.926537,87.94799210006582,54.76190476190476
DDR4-1.3333333,50,220,22791983208.3958,87.8884792626728,53.80952380952381
DDR4-1.3333333,50,260,20850739430.28486,87.03860652541272,53.80952380952381
DDR4-1.3333333,50,300,19051351124.437782,86.96945274925255,53.33333333333333
DDR4-1.3333333,50,340,18034585907.04648,86.92153039559773,53.80952380952381
